rec_id	event_id	Rec	parent	parent_type	unknown	domain	similarity
37	73	BT_Cry13Aa1	NOV_Cry13Aa1_50.1_ANS46780.1	minor	no	domain3	74.6
37	73	BT_Cry13Aa1	NOV_Cry13Aa1_50.1_ANS46780.1;NOV_Cry14Aa1_41.1_PGW46198.1;NOV_Cry14Aa1_44.0_PGW42274.1;NOV_Cry14Ab1_42.4_PGW46196.1	major	yes	domain2	-52.914285714285704
37	73	BT_Cry13Aa1	NOV_Cry14Aa1_44.0_PGW42274.1	major	yes	domain1	-55.985915492957794
11	119	BT_Cry14Ab1	NOV_Cry14Ab1_85.6_AXE15628.1	minor	no	domain1	92.5501432664757
11	119	BT_Cry14Ab1	BT_Cry14Aa1	major	no	domain3	88.57142857142858
11	119	BT_Cry14Ab1	BT_Cry14Aa1	major	no	domain2	84.5801526717557
54	71	BT_Cry19Aa1	BT_Cry19Ca1	minor	no	domain2	66.4383561643836
54	71	BT_Cry19Aa1	BT_Cry1Na1;BT_Cry1Nb1	major	no	domain1	55.203065134099596
54	71	BT_Cry19Aa1	BT_Cry1A-like;BT_Cry1Aa10;BT_Cry1Ab12;BT_Cry1Ab2;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Bb1;BT_Cry1Fb1;BT_Cry1Ga2;BT_Cry1Gb1;BT_Cry1Ia11;BT_Cry1Ia18;BT_Cry1Ic1;BT_Cry1Id1;BT_Cry1Ie4;BT_Cry1Ja1;BT_Cry1Ma1;BT_Cry1Na1;BT_Cry1Nb1;BT_Cry9Ga1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ad2_87.7_AIW52617.1;NOV_Cry1Da1_84.8_ABK35074.1;NOV_Cry1Ga1_77.9_AX098669.1;NOV_Cry1Ie5_79.3_PQQ47595.1	major	no	domain3	51.8188063636427
14	1	BT_Cry1Aa10;BT_Cry1Ab12;BT_Cry1Ab2;BT_Cry1Ac39;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Ai1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ac23_90.7_CAQ03747.1	NOV_Cry1Ea10_93.2_AAX86871.1	minor	no	domain1	90.20530744599985
14	1	BT_Cry1A-like;BT_Cry1Aa10;BT_Cry1Ab12;BT_Cry1Ab2;BT_Cry1Ac39;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Ah2;BT_Cry1Ai1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ac23_90.7_CAQ03747.1;NOV_Cry1Ad2_87.7_AIW52617.1	none	major	no	domain2	81.93748011685497
14	1	BT_Cry1A-like;BT_Cry1Aa10;BT_Cry1Ab12;BT_Cry1Ab2;BT_Cry1Ac39;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Ah2;BT_Cry1Ai1;BT_Cry1Bb1;BT_Cry1Bd1;BT_Cry1Bh1;BT_Cry1Bi1;BT_Cry1Bj1;BT_Cry1Fb1;BT_Cry1Ga2;BT_Cry1Gb1;BT_Cry1Ia11;BT_Cry1Ia18;BT_Cry1Ic1;BT_Cry1Id1;BT_Cry1Ie4;BT_Cry1Ja1;BT_Cry1Ma1;BT_Cry1Na1;BT_Cry1Nb1;BT_Cry9Ga1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ac23_90.7_CAQ03747.1;NOV_Cry1Ad2_87.7_AIW52617.1;NOV_Cry1Da1_84.8_ABK35074.1;NOV_Cry1Ga1_77.9_AX098669.1;NOV_Cry1Ie5_79.3_PQQ47595.1	none	major	no	domain3	64.71244649905152
76	7	BT_Cry1Ac39;BT_Cry1Ah2;BT_Cry1Ai1;NOV_Cry1Ac23_90.7_CAQ03747.1	none	minor	yes	domain3	-49.91304400702944
76	7	BT_Cry1Ac39;BT_Cry1Ah2;NOV_Cry1Ac23_90.7_CAQ03747.1	BT_Cry1A-like	major	no	domain2	69.65301074525324
